"Rakennusvaihe","Alue","Kuukausi","01 Asuinrakennukset Asunnot (kpl)"
"Aloitetut rakennushankkeet","KOKO MAA","1995M01",781
"Aloitetut rakennushankkeet","KOKO MAA","1995M02",531
"Aloitetut rakennushankkeet","KOKO MAA","1995M03",1356
"Aloitetut rakennushankkeet","KOKO MAA","1995M04",1792
"Aloitetut rakennushankkeet","KOKO MAA","1995M05",2933
"Aloitetut rakennushankkeet","KOKO MAA","1995M06",2131
"Aloitetut rakennushankkeet","KOKO MAA","1995M07",1357
"Aloitetut rakennushankkeet","KOKO MAA","1995M08",2002
"Aloitetut rakennushankkeet","KOKO MAA","1995M09",1572
"Aloitetut rakennushankkeet","KOKO MAA","1995M10",2058
"Aloitetut rakennushankkeet","KOKO MAA","1995M11",1051
"Aloitetut rakennushankkeet","KOKO MAA","1995M12",819
"Aloitetut rakennushankkeet","KOKO MAA","1996M01",1131
"Aloitetut rakennushankkeet","KOKO MAA","1996M02",762
"Aloitetut rakennushankkeet","KOKO MAA","1996M03",1578
"Aloitetut rakennushankkeet","KOKO MAA","1996M04",1706
"Aloitetut rakennushankkeet","KOKO MAA","1996M05",3078
"Aloitetut rakennushankkeet","KOKO MAA","1996M06",2928
"Aloitetut rakennushankkeet","KOKO MAA","1996M07",2059
"Aloitetut rakennushankkeet","KOKO MAA","1996M08",1832
"Aloitetut rakennushankkeet","KOKO MAA","1996M09",3196
"Aloitetut rakennushankkeet","KOKO MAA","1996M10",3282
"Aloitetut rakennushankkeet","KOKO MAA","1996M11",1844
"Aloitetut rakennushankkeet","KOKO MAA","1996M12",1016
"Aloitetut rakennushankkeet","KOKO MAA","1997M01",1507
"Aloitetut rakennushankkeet","KOKO MAA","1997M02",1399
"Aloitetut rakennushankkeet","KOKO MAA","1997M03",2105
"Aloitetut rakennushankkeet","KOKO MAA","1997M04",3770
"Aloitetut rakennushankkeet","KOKO MAA","1997M05",3894
"Aloitetut rakennushankkeet","KOKO MAA","1997M06",3786
"Aloitetut rakennushankkeet","KOKO MAA","1997M07",2492
"Aloitetut rakennushankkeet","KOKO MAA","1997M08",2781
"Aloitetut rakennushankkeet","KOKO MAA","1997M09",2828
"Aloitetut rakennushankkeet","KOKO MAA","1997M10",2982
"Aloitetut rakennushankkeet","KOKO MAA","1997M11",1833
"Aloitetut rakennushankkeet","KOKO MAA","1997M12",1064
"Aloitetut rakennushankkeet","KOKO MAA","1998M01",1731
"Aloitetut rakennushankkeet","KOKO MAA","1998M02",1295
"Aloitetut rakennushankkeet","KOKO MAA","1998M03",2339
"Aloitetut rakennushankkeet","KOKO MAA","1998M04",3541
"Aloitetut rakennushankkeet","KOKO MAA","1998M05",3607
"Aloitetut rakennushankkeet","KOKO MAA","1998M06",3787
"Aloitetut rakennushankkeet","KOKO MAA","1998M07",3232
"Aloitetut rakennushankkeet","KOKO MAA","1998M08",2998
"Aloitetut rakennushankkeet","KOKO MAA","1998M09",3249
"Aloitetut rakennushankkeet","KOKO MAA","1998M10",3051
"Aloitetut rakennushankkeet","KOKO MAA","1998M11",2099
"Aloitetut rakennushankkeet","KOKO MAA","1998M12",1276
"Aloitetut rakennushankkeet","KOKO MAA","1999M01",1545
"Aloitetut rakennushankkeet","KOKO MAA","1999M02",1243
"Aloitetut rakennushankkeet","KOKO MAA","1999M03",2041
"Aloitetut rakennushankkeet","KOKO MAA","1999M04",3695
"Aloitetut rakennushankkeet","KOKO MAA","1999M05",5241
"Aloitetut rakennushankkeet","KOKO MAA","1999M06",4318
"Aloitetut rakennushankkeet","KOKO MAA","1999M07",2970
"Aloitetut rakennushankkeet","KOKO MAA","1999M08",3110
"Aloitetut rakennushankkeet","KOKO MAA","1999M09",3596
"Aloitetut rakennushankkeet","KOKO MAA","1999M10",3495
"Aloitetut rakennushankkeet","KOKO MAA","1999M11",3002
"Aloitetut rakennushankkeet","KOKO MAA","1999M12",1945
"Aloitetut rakennushankkeet","KOKO MAA","2000M01",1745
"Aloitetut rakennushankkeet","KOKO MAA","2000M02",1593
"Aloitetut rakennushankkeet","KOKO MAA","2000M03",2562
"Aloitetut rakennushankkeet","KOKO MAA","2000M04",3543
"Aloitetut rakennushankkeet","KOKO MAA","2000M05",5556
"Aloitetut rakennushankkeet","KOKO MAA","2000M06",3571
"Aloitetut rakennushankkeet","KOKO MAA","2000M07",2537
"Aloitetut rakennushankkeet","KOKO MAA","2000M08",3304
"Aloitetut rakennushankkeet","KOKO MAA","2000M09",2993
"Aloitetut rakennushankkeet","KOKO MAA","2000M10",2904
"Aloitetut rakennushankkeet","KOKO MAA","2000M11",2500
"Aloitetut rakennushankkeet","KOKO MAA","2000M12",1488
"Aloitetut rakennushankkeet","KOKO MAA","2001M01",1768
"Aloitetut rakennushankkeet","KOKO MAA","2001M02",948
"Aloitetut rakennushankkeet","KOKO MAA","2001M03",1936
"Aloitetut rakennushankkeet","KOKO MAA","2001M04",3115
"Aloitetut rakennushankkeet","KOKO MAA","2001M05",3869
"Aloitetut rakennushankkeet","KOKO MAA","2001M06",3137
"Aloitetut rakennushankkeet","KOKO MAA","2001M07",2407
"Aloitetut rakennushankkeet","KOKO MAA","2001M08",2683
"Aloitetut rakennushankkeet","KOKO MAA","2001M09",2553
"Aloitetut rakennushankkeet","KOKO MAA","2001M10",2895
"Aloitetut rakennushankkeet","KOKO MAA","2001M11",2493
"Aloitetut rakennushankkeet","KOKO MAA","2001M12",1180
"Aloitetut rakennushankkeet","KOKO MAA","2002M01",1352
"Aloitetut rakennushankkeet","KOKO MAA","2002M02",1432
"Aloitetut rakennushankkeet","KOKO MAA","2002M03",1762
"Aloitetut rakennushankkeet","KOKO MAA","2002M04",3583
"Aloitetut rakennushankkeet","KOKO MAA","2002M05",4035
"Aloitetut rakennushankkeet","KOKO MAA","2002M06",3076
"Aloitetut rakennushankkeet","KOKO MAA","2002M07",2062
"Aloitetut rakennushankkeet","KOKO MAA","2002M08",2679
"Aloitetut rakennushankkeet","KOKO MAA","2002M09",3232
"Aloitetut rakennushankkeet","KOKO MAA","2002M10",2677
"Aloitetut rakennushankkeet","KOKO MAA","2002M11",2076
"Aloitetut rakennushankkeet","KOKO MAA","2002M12",1257
"Aloitetut rakennushankkeet","KOKO MAA","2003M01",1226
"Aloitetut rakennushankkeet","KOKO MAA","2003M02",1288
"Aloitetut rakennushankkeet","KOKO MAA","2003M03",1958
"Aloitetut rakennushankkeet","KOKO MAA","2003M04",3685
"Aloitetut rakennushankkeet","KOKO MAA","2003M05",4006
"Aloitetut rakennushankkeet","KOKO MAA","2003M06",4930
"Aloitetut rakennushankkeet","KOKO MAA","2003M07",2737
"Aloitetut rakennushankkeet","KOKO MAA","2003M08",3379
"Aloitetut rakennushankkeet","KOKO MAA","2003M09",3520
"Aloitetut rakennushankkeet","KOKO MAA","2003M10",3436
"Aloitetut rakennushankkeet","KOKO MAA","2003M11",2333
"Aloitetut rakennushankkeet","KOKO MAA","2003M12",1684
"Aloitetut rakennushankkeet","KOKO MAA","2004M01",1884
"Aloitetut rakennushankkeet","KOKO MAA","2004M02",1608
"Aloitetut rakennushankkeet","KOKO MAA","2004M03",2687
"Aloitetut rakennushankkeet","KOKO MAA","2004M04",3444
"Aloitetut rakennushankkeet","KOKO MAA","2004M05",4505
"Aloitetut rakennushankkeet","KOKO MAA","2004M06",4003
"Aloitetut rakennushankkeet","KOKO MAA","2004M07",2602
"Aloitetut rakennushankkeet","KOKO MAA","2004M08",3653
"Aloitetut rakennushankkeet","KOKO MAA","2004M09",3070
"Aloitetut rakennushankkeet","KOKO MAA","2004M10",2674
"Aloitetut rakennushankkeet","KOKO MAA","2004M11",2651
"Aloitetut rakennushankkeet","KOKO MAA","2004M12",1899
"Aloitetut rakennushankkeet","KOKO MAA","2005M01",1345
"Aloitetut rakennushankkeet","KOKO MAA","2005M02",1662
"Aloitetut rakennushankkeet","KOKO MAA","2005M03",2045
"Aloitetut rakennushankkeet","KOKO MAA","2005M04",3452
"Aloitetut rakennushankkeet","KOKO MAA","2005M05",5449
"Aloitetut rakennushankkeet","KOKO MAA","2005M06",4449
"Aloitetut rakennushankkeet","KOKO MAA","2005M07",2499
"Aloitetut rakennushankkeet","KOKO MAA","2005M08",3847
"Aloitetut rakennushankkeet","KOKO MAA","2005M09",3256
"Aloitetut rakennushankkeet","KOKO MAA","2005M10",3242
"Aloitetut rakennushankkeet","KOKO MAA","2005M11",2678
"Aloitetut rakennushankkeet","KOKO MAA","2005M12",1612
"Aloitetut rakennushankkeet","KOKO MAA","2006M01",1802
"Aloitetut rakennushankkeet","KOKO MAA","2006M02",1267
"Aloitetut rakennushankkeet","KOKO MAA","2006M03",2829
"Aloitetut rakennushankkeet","KOKO MAA","2006M04",3236
"Aloitetut rakennushankkeet","KOKO MAA","2006M05",5430
"Aloitetut rakennushankkeet","KOKO MAA","2006M06",4237
"Aloitetut rakennushankkeet","KOKO MAA","2006M07",2317
"Aloitetut rakennushankkeet","KOKO MAA","2006M08",4403
"Aloitetut rakennushankkeet","KOKO MAA","2006M09",3323
"Aloitetut rakennushankkeet","KOKO MAA","2006M10",3100
"Aloitetut rakennushankkeet","KOKO MAA","2006M11",2426
"Aloitetut rakennushankkeet","KOKO MAA","2006M12",1562
"Aloitetut rakennushankkeet","KOKO MAA","2007M01",1366
"Aloitetut rakennushankkeet","KOKO MAA","2007M02",1063
"Aloitetut rakennushankkeet","KOKO MAA","2007M03",2647
"Aloitetut rakennushankkeet","KOKO MAA","2007M04",3508
"Aloitetut rakennushankkeet","KOKO MAA","2007M05",4194
"Aloitetut rakennushankkeet","KOKO MAA","2007M06",3953
"Aloitetut rakennushankkeet","KOKO MAA","2007M07",2388
"Aloitetut rakennushankkeet","KOKO MAA","2007M08",4182
"Aloitetut rakennushankkeet","KOKO MAA","2007M09",3126
"Aloitetut rakennushankkeet","KOKO MAA","2007M10",2819
"Aloitetut rakennushankkeet","KOKO MAA","2007M11",2157
"Aloitetut rakennushankkeet","KOKO MAA","2007M12",1262
"Aloitetut rakennushankkeet","KOKO MAA","2008M01",1873
"Aloitetut rakennushankkeet","KOKO MAA","2008M02",1141
"Aloitetut rakennushankkeet","KOKO MAA","2008M03",1679
"Aloitetut rakennushankkeet","KOKO MAA","2008M04",2740
"Aloitetut rakennushankkeet","KOKO MAA","2008M05",3172
"Aloitetut rakennushankkeet","KOKO MAA","2008M06",2865
"Aloitetut rakennushankkeet","KOKO MAA","2008M07",1637
"Aloitetut rakennushankkeet","KOKO MAA","2008M08",2631
"Aloitetut rakennushankkeet","KOKO MAA","2008M09",2515
"Aloitetut rakennushankkeet","KOKO MAA","2008M10",1757
"Aloitetut rakennushankkeet","KOKO MAA","2008M11",1042
"Aloitetut rakennushankkeet","KOKO MAA","2008M12",663
"Aloitetut rakennushankkeet","KOKO MAA","2009M01",748
"Aloitetut rakennushankkeet","KOKO MAA","2009M02",627
"Aloitetut rakennushankkeet","KOKO MAA","2009M03",1182
"Aloitetut rakennushankkeet","KOKO MAA","2009M04",1926
"Aloitetut rakennushankkeet","KOKO MAA","2009M05",2108
"Aloitetut rakennushankkeet","KOKO MAA","2009M06",2672
"Aloitetut rakennushankkeet","KOKO MAA","2009M07",1639
"Aloitetut rakennushankkeet","KOKO MAA","2009M08",2579
"Aloitetut rakennushankkeet","KOKO MAA","2009M09",2725
"Aloitetut rakennushankkeet","KOKO MAA","2009M10",2446
"Aloitetut rakennushankkeet","KOKO MAA","2009M11",2985
"Aloitetut rakennushankkeet","KOKO MAA","2009M12",2217
"Aloitetut rakennushankkeet","KOKO MAA","2010M01",1578
"Aloitetut rakennushankkeet","KOKO MAA","2010M02",1733
"Aloitetut rakennushankkeet","KOKO MAA","2010M03",1918
"Aloitetut rakennushankkeet","KOKO MAA","2010M04",3792
"Aloitetut rakennushankkeet","KOKO MAA","2010M05",3740
"Aloitetut rakennushankkeet","KOKO MAA","2010M06",3771
"Aloitetut rakennushankkeet","KOKO MAA","2010M07",2056
"Aloitetut rakennushankkeet","KOKO MAA","2010M08",3797
"Aloitetut rakennushankkeet","KOKO MAA","2010M09",3809
"Aloitetut rakennushankkeet","KOKO MAA","2010M10",3769
"Aloitetut rakennushankkeet","KOKO MAA","2010M11",2405
"Aloitetut rakennushankkeet","KOKO MAA","2010M12",1887
"Aloitetut rakennushankkeet","KOKO MAA","2011M01",1292
"Aloitetut rakennushankkeet","KOKO MAA","2011M02",1269
"Aloitetut rakennushankkeet","KOKO MAA","2011M03",2748
"Aloitetut rakennushankkeet","KOKO MAA","2011M04",3402
"Aloitetut rakennushankkeet","KOKO MAA","2011M05",5168
"Aloitetut rakennushankkeet","KOKO MAA","2011M06",3489
"Aloitetut rakennushankkeet","KOKO MAA","2011M07",1985
"Aloitetut rakennushankkeet","KOKO MAA","2011M08",3841
"Aloitetut rakennushankkeet","KOKO MAA","2011M09",3172
"Aloitetut rakennushankkeet","KOKO MAA","2011M10",3064
"Aloitetut rakennushankkeet","KOKO MAA","2011M11",2423
"Aloitetut rakennushankkeet","KOKO MAA","2011M12",1607
"Aloitetut rakennushankkeet","KOKO MAA","2012M01",1165
"Aloitetut rakennushankkeet","KOKO MAA","2012M02",1290
"Aloitetut rakennushankkeet","KOKO MAA","2012M03",2239
"Aloitetut rakennushankkeet","KOKO MAA","2012M04",3636
"Aloitetut rakennushankkeet","KOKO MAA","2012M05",4215
"Aloitetut rakennushankkeet","KOKO MAA","2012M06",3587
"Aloitetut rakennushankkeet","KOKO MAA","2012M07",1976
"Aloitetut rakennushankkeet","KOKO MAA","2012M08",3462
"Aloitetut rakennushankkeet","KOKO MAA","2012M09",2841
"Aloitetut rakennushankkeet","KOKO MAA","2012M10",2747
"Aloitetut rakennushankkeet","KOKO MAA","2012M11",2387
"Aloitetut rakennushankkeet","KOKO MAA","2012M12",1236
"Aloitetut rakennushankkeet","KOKO MAA","2013M01",1639
"Aloitetut rakennushankkeet","KOKO MAA","2013M02",1317
"Aloitetut rakennushankkeet","KOKO MAA","2013M03",2594
"Aloitetut rakennushankkeet","KOKO MAA","2013M04",2834
"Aloitetut rakennushankkeet","KOKO MAA","2013M05",4004
"Aloitetut rakennushankkeet","KOKO MAA","2013M06",3144
"Aloitetut rakennushankkeet","KOKO MAA","2013M07",1788
"Aloitetut rakennushankkeet","KOKO MAA","2013M08",2510
"Aloitetut rakennushankkeet","KOKO MAA","2013M09",2622
"Aloitetut rakennushankkeet","KOKO MAA","2013M10",2653
"Aloitetut rakennushankkeet","KOKO MAA","2013M11",1735
"Aloitetut rakennushankkeet","KOKO MAA","2013M12",1241
"Aloitetut rakennushankkeet","KOKO MAA","2014M01",1171
"Aloitetut rakennushankkeet","KOKO MAA","2014M02",1504
"Aloitetut rakennushankkeet","KOKO MAA","2014M03",2066
"Aloitetut rakennushankkeet","KOKO MAA","2014M04",3144
"Aloitetut rakennushankkeet","KOKO MAA","2014M05",2931
"Aloitetut rakennushankkeet","KOKO MAA","2014M06",2845
"Aloitetut rakennushankkeet","KOKO MAA","2014M07",1619
"Aloitetut rakennushankkeet","KOKO MAA","2014M08",2330
"Aloitetut rakennushankkeet","KOKO MAA","2014M09",2328
"Aloitetut rakennushankkeet","KOKO MAA","2014M10",2541
"Aloitetut rakennushankkeet","KOKO MAA","2014M11",1703
"Aloitetut rakennushankkeet","KOKO MAA","2014M12",1034
"Aloitetut rakennushankkeet","KOKO MAA","2015M01",1346
"Aloitetut rakennushankkeet","KOKO MAA","2015M02",1378
"Aloitetut rakennushankkeet","KOKO MAA","2015M03",2938
"Aloitetut rakennushankkeet","KOKO MAA","2015M04",2489
"Aloitetut rakennushankkeet","KOKO MAA","2015M05",3480
"Aloitetut rakennushankkeet","KOKO MAA","2015M06",3654
"Aloitetut rakennushankkeet","KOKO MAA","2015M07",1493
"Aloitetut rakennushankkeet","KOKO MAA","2015M08",3443
"Aloitetut rakennushankkeet","KOKO MAA","2015M09",3303
"Aloitetut rakennushankkeet","KOKO MAA","2015M10",3392
"Aloitetut rakennushankkeet","KOKO MAA","2015M11",2767
"Aloitetut rakennushankkeet","KOKO MAA","2015M12",2356
"Aloitetut rakennushankkeet","KOKO MAA","2016M01",1409
"Aloitetut rakennushankkeet","KOKO MAA","2016M02",2338
"Aloitetut rakennushankkeet","KOKO MAA","2016M03",3031
"Aloitetut rakennushankkeet","KOKO MAA","2016M04",3529
"Aloitetut rakennushankkeet","KOKO MAA","2016M05",3649
"Aloitetut rakennushankkeet","KOKO MAA","2016M06",3725
"Aloitetut rakennushankkeet","KOKO MAA","2016M07",2281
"Aloitetut rakennushankkeet","KOKO MAA","2016M08",4024
"Aloitetut rakennushankkeet","KOKO MAA","2016M09",3519
"Aloitetut rakennushankkeet","KOKO MAA","2016M10",3731
"Aloitetut rakennushankkeet","KOKO MAA","2016M11",2992
"Aloitetut rakennushankkeet","KOKO MAA","2016M12",2733
"Aloitetut rakennushankkeet","KOKO MAA","2017M01",1991
"Aloitetut rakennushankkeet","KOKO MAA","2017M02",2545
"Aloitetut rakennushankkeet","KOKO MAA","2017M03",3817
"Aloitetut rakennushankkeet","KOKO MAA","2017M04",4003
"Aloitetut rakennushankkeet","KOKO MAA","2017M05",4780
"Aloitetut rakennushankkeet","KOKO MAA","2017M06",4227
"Aloitetut rakennushankkeet","KOKO MAA","2017M07",2006
"Aloitetut rakennushankkeet","KOKO MAA","2017M08",5546
"Aloitetut rakennushankkeet","KOKO MAA","2017M09",4465
"Aloitetut rakennushankkeet","KOKO MAA","2017M10",3968
"Aloitetut rakennushankkeet","KOKO MAA","2017M11",3987
"Aloitetut rakennushankkeet","KOKO MAA","2017M12",2956
"Aloitetut rakennushankkeet","KOKO MAA","2018M01",3112
"Aloitetut rakennushankkeet","KOKO MAA","2018M02",2794
"Aloitetut rakennushankkeet","KOKO MAA","2018M03",2956
"Aloitetut rakennushankkeet","KOKO MAA","2018M04",4509
"Aloitetut rakennushankkeet","KOKO MAA","2018M05",5352
"Aloitetut rakennushankkeet","KOKO MAA","2018M06",4794
"Aloitetut rakennushankkeet","KOKO MAA","2018M07",1846
"Aloitetut rakennushankkeet","KOKO MAA","2018M08",5124
"Aloitetut rakennushankkeet","KOKO MAA","2018M09",4558
"Aloitetut rakennushankkeet","KOKO MAA","2018M10",4019
"Aloitetut rakennushankkeet","KOKO MAA","2018M11",2483
"Aloitetut rakennushankkeet","KOKO MAA","2018M12",2351
"Aloitetut rakennushankkeet","KOKO MAA","2019M01",1814
"Aloitetut rakennushankkeet","KOKO MAA","2019M02",1864
"Aloitetut rakennushankkeet","KOKO MAA","2019M03",3240
"Aloitetut rakennushankkeet","KOKO MAA","2019M04",3170
"Aloitetut rakennushankkeet","KOKO MAA","2019M05",3800
"Aloitetut rakennushankkeet","KOKO MAA","2019M06",4309
"Aloitetut rakennushankkeet","KOKO MAA","2019M07",1806
"Aloitetut rakennushankkeet","KOKO MAA","2019M08",3879
"Aloitetut rakennushankkeet","KOKO MAA","2019M09",3691
"Aloitetut rakennushankkeet","KOKO MAA","2019M10",3672
"Aloitetut rakennushankkeet","KOKO MAA","2019M11",3232
"Aloitetut rakennushankkeet","KOKO MAA","2019M12",2129
"Aloitetut rakennushankkeet","KOKO MAA","2020M01",2345
"Aloitetut rakennushankkeet","KOKO MAA","2020M02",3080
"Aloitetut rakennushankkeet","KOKO MAA","2020M03",3638
"Aloitetut rakennushankkeet","KOKO MAA","2020M04",2812
"Aloitetut rakennushankkeet","KOKO MAA","2020M05",2279
"Aloitetut rakennushankkeet","KOKO MAA","2020M06",3926
"Aloitetut rakennushankkeet","KOKO MAA","2020M07",2673
"Aloitetut rakennushankkeet","KOKO MAA","2020M08",2537
"Aloitetut rakennushankkeet","KOKO MAA","2020M09",4826
"Aloitetut rakennushankkeet","KOKO MAA","2020M10",4548
"Aloitetut rakennushankkeet","KOKO MAA","2020M11",3323
"Aloitetut rakennushankkeet","KOKO MAA","2020M12",3117
"Aloitetut rakennushankkeet","KOKO MAA","2021M01",2941
"Aloitetut rakennushankkeet","KOKO MAA","2021M02",2403
"Aloitetut rakennushankkeet","KOKO MAA","2021M03",4146
"Aloitetut rakennushankkeet","KOKO MAA","2021M04",4679
"Aloitetut rakennushankkeet","KOKO MAA","2021M05",4594
"Aloitetut rakennushankkeet","KOKO MAA","2021M06",5178
"Aloitetut rakennushankkeet","KOKO MAA","2021M07",2064
"Aloitetut rakennushankkeet","KOKO MAA","2021M08",4012
"Aloitetut rakennushankkeet","KOKO MAA","2021M09",4844
"Aloitetut rakennushankkeet","KOKO MAA","2021M10",3642
"Aloitetut rakennushankkeet","KOKO MAA","2021M11",4675
"Aloitetut rakennushankkeet","KOKO MAA","2021M12",3414
"Aloitetut rakennushankkeet","KOKO MAA","2022M01",2409
"Aloitetut rakennushankkeet","KOKO MAA","2022M02",2042
"Aloitetut rakennushankkeet","KOKO MAA","2022M03",3982
"Aloitetut rakennushankkeet","KOKO MAA","2022M04",3147
"Aloitetut rakennushankkeet","KOKO MAA","2022M05",4169
"Aloitetut rakennushankkeet","KOKO MAA","2022M06",4250
"Aloitetut rakennushankkeet","KOKO MAA","2022M07",1314
"Aloitetut rakennushankkeet","KOKO MAA","2022M08",3483
"Aloitetut rakennushankkeet","KOKO MAA","2022M09",3424
"Aloitetut rakennushankkeet","KOKO MAA","2022M10",3658
"Aloitetut rakennushankkeet","KOKO MAA","2022M11",2302
"Aloitetut rakennushankkeet","KOKO MAA","2022M12",1220
"Aloitetut rakennushankkeet","KOKO MAA","2023M01",1725
"Aloitetut rakennushankkeet","KOKO MAA","2023M02",1221
"Aloitetut rakennushankkeet","KOKO MAA","2023M03",2308
"Aloitetut rakennushankkeet","KOKO MAA","2023M04",2013
"Aloitetut rakennushankkeet","KOKO MAA","2023M05",1960
"Aloitetut rakennushankkeet","KOKO MAA","2023M06",2365
"Aloitetut rakennushankkeet","KOKO MAA","2023M07",1186
"Aloitetut rakennushankkeet","KOKO MAA","2023M08",2037
"Aloitetut rakennushankkeet","KOKO MAA","2023M09",1756
"Aloitetut rakennushankkeet","KOKO MAA","2023M10",1801
"Aloitetut rakennushankkeet","KOKO MAA","2023M11",1763
"Aloitetut rakennushankkeet","KOKO MAA","2023M12",1192
"Aloitetut rakennushankkeet","KOKO MAA","2024M01",1633
"Aloitetut rakennushankkeet","KOKO MAA","2024M02",1215
"Aloitetut rakennushankkeet","KOKO MAA","2024M03",1357
"Aloitetut rakennushankkeet","KOKO MAA","2024M04",2199
"Aloitetut rakennushankkeet","KOKO MAA","2024M05",2232
"Aloitetut rakennushankkeet","KOKO MAA","2024M06",2239
"Aloitetut rakennushankkeet","KOKO MAA","2024M07",1863
"Aloitetut rakennushankkeet","KOKO MAA","2024M08",2154
